prefix	candidates	classification	reviewer	review_date	note
прив	привет|привести|привело	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — узнаваемые русские слова. «привет» поднялось с четвёртого места на первое: письменный корпус ставил его 250-м по частоте, разговорный — гораздо выше.
здрав	здравствуйте|здравствуй|здравоохранения	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — узнаваемые русские слова. Приветствия «здравствуйте» и «здравствуй» вытеснили формы «здравоохранения»: это ровно тот регистр, ради которого разговорный корпус и брался.
спас	спасибо|спасти|спасать	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — узнаваемые русские слова; «спасибо» встало первым.
пожал	пожалуйста|пожаловать|пожалуй	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — узнаваемые русские формы; «пожалуйста» встало первым.
сегод	сегодня|сегодняшний|сегодняшнего	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы «сегодня»/«сегодняшний».
завтр	завтра|завтрак|завтрашнего	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы «завтра»/«завтрак»/«завтрашний».
котор	который|которые|которая	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы местоимения «который»; изменился только порядок внутри тройки.
работ	работу|работать|работы	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы «работа»/«работать»; изменился только порядок внутри тройки.
город	города|городе|городу	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — падежные формы слова «город».
дом	дома|домой|доме	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы слова «дом», включая разговорное «домой».
чело	человек|человека|человеком	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — падежные формы слова «человек».
дет	детей|дети|детка	pass	automated (dictionary_pack.py query-audit)	2026-08-24	«детей» и «дети» — обычные формы; «детка» — разговорное обращение с 27 869 вхождениями в субтитрах, слово словарное, регистр разговорный.
мам	мама|маме|мамой	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — падежные формы слова «мама».
пап	папа|папой|папы	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — падежные формы слова «папа». Проверка на ошибку масштаба частот: при первой сборке здесь стояло «папочка|папин|папочку».
друг	другой|друга|других	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы «другой»/«друг».
хоро	хорошо|хороший|хорошая	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы прилагательного «хороший» и наречия «хорошо».
плох	плохо|плохой|плохие	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы прилагательного «плохой» и наречия «плохо».
дела	делать|делает|делаешь	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы глагола «делать», включая второе лицо «делаешь», которого в письменном корпусе почти нет.
врем	время|времени|времена	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — формы слова «время».
дене	денег|денежки|денек	pass	automated (dictionary_pack.py query-audit)	2026-08-24	«денег» — обычная форма; «денежки» и «денек» разговорные, оба — узнаваемые русские слова.
можн	можно	pass	automated (dictionary_pack.py query-audit)	2026-08-24	«можно» — единственный кандидат на этом префиксе. В 1.9.0 рядом стояло разговорное написание «можна»: правило приёмки спрашивало про происхождение слова, а не про его правильность, и пропустило его. Оператор исключил «можна» поимённо — docs/DICT-WIDEN.md, EXCLUDED_WORDS в scripts/dict_accept.py.
нужн	нужно|нужна|нужны	pass	automated (dictionary_pack.py query-audit)	2026-08-24	Все три — краткие формы «нужный»; изменился только порядок внутри тройки.
