# Очередь приёмки слов разговорного регистра. Одна строка — одно слово-кандидат.
# Источник и метод: docs/CORPUS.md, решение по OpenSubtitles — docs/CORPUS-OS.md.
# Слова НЕ добавлены ни в один поставляемый словарь.
#
# approved заполняет ТОЛЬКО оператор лично, поимённо. Генератор всегда пишет её пустой;
# правило записано в docs/TATAR-REVIEW-QUEUE.tsv: словарные наборы — не строки интерфейса.
# approved: (пусто) | yes | no
#
# Сортировка — по убыванию пользы: сначала heldout_hits (сколько раз слово встретилось в
# отложенной разговорной выборке, не участвовавшей в его ранжировании), затем train_freq.
# Список длинный намеренно: можно идти сверху вниз и остановиться в любой момент.
#
# heldout_hits  — вхождений в отложенной разговорной выборке (10 % строк, после дедупликации)
# train_freq    — вхождений в обучающей части разговорных корпусов, ВСЕХ вместе
# train_freq_clean — из них вхождений только в корпусах с чистой лицензией (Tatoeba). Именно
#                 это число останется, если решение по OpenSubtitles отменят. Ноль означает,
#                 что слово держится на одних субтитрах, даже когда license_status = clean:
#                 метка clean говорит, что словоформа встречается в Tatoeba, а НЕ что её
#                 частота получена без OpenSubtitles.
# sources       — из каких корпусов слово пришло
# cap_ratio     — доля вхождений с заглавной буквы НЕ в начале строки; чем ближе к 1,
#                 тем вероятнее это имя собственное, проскочившее фильтр. 0.00 — чисто.
# enters_top100k — вошло бы слово в top-100k при слиянии частот (нижняя оценка)
# license_status — под какой лицензией слово получено:
#   clean:CC-BY-2.0-FR      — Tatoeba, грант есть
#   risk-accepted:no-grant  — слово встречается только в OpenSubtitles. Лицензионного гранта у
#                             OpenSubtitles нет вообще: это не «неясная» лицензия, а
#                             отсутствующая. Оператор 2026-08-24 решил взять источник, зная это.
#                             Строка помечена, чтобы происхождение слова оставалось видно;
#                             вычитывается она наравне с чистыми.
# Слова, встречающиеся ТОЛЬКО в QED (research only) или TED2020 (CC BY-NC-ND), в очередь
# не попадают вовсе: их нельзя принять ни при каком решении оператора, и держать их здесь
# значило бы тратить его время. Их число указано в docs/CORPUS.md.
#
# Не попадают и слова, которые не доходят до top-100k даже при ВЕРХНЕЙ границе интервала
# частот: отсечка словаря жёстко 100 000 записей, такое слово не войдёт в ассет ни при каком
# допущении, и вычитывать его — работа, которая ничего не изменит. Сколько таких слов
# отброшено, печатает сам генератор и записано в docs/CORPUS-OS.md.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	approved	reviewer	review_date	note
послушай	6818	62429	171	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
собираешься	3287	29028	546	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
детка	2995	27869	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
позволь	2297	20470	260	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
позвоню	2251	20286	561	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
волнуйся	2240	19865	86	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
перестань	2126	18969	461	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
ме	2124	19092	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.77	yes				
мэм	2089	18616	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes				
прекрати	1978	17434	229	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
минутку	1976	18307	298	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
помогу	1904	17300	528	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
брось	1778	16722	132	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
успокойся	1753	15983	83	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
позвони	1689	15435	392	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
отдай	1598	14727	161	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
заткнись	1522	13645	83	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.07	yes				
придурок	1494	13312	60	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
держись	1486	13458	105	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
поможешь	1444	12891	244	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
принеси	1435	12763	289	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
ублюдок	1420	12615	9	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
передай	1399	13032	214	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
принесу	1399	12793	210	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
садись	1365	12095	172	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
поговорю	1362	12508	264	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
дружище	1311	11803	24	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
расскажешь	1305	11962	90	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
убери	1231	11075	139	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
выпьем	1207	11511	159	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
постой	1181	10025	27	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
умоляю	1170	10023	75	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
заберу	1148	10232	42	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
останешься	1143	10053	121	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
возвращайся	1132	10230	144	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
побери	1118	10227	11	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
смей	1106	9803	50	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сучка	1100	9561	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes				
дашь	1094	9870	125	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
нравишься	1084	9855	196	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
отпусти	1084	9609	77	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
щрн	1065	9263	0	OpenSubtitles	risk-accepted:no-grant	0.79	yes				
звони	1063	9054	179	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
чертов	1054	9626	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
схожу	1054	9193	184	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
продолжай	1031	9756	106	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
положи	1004	8912	302	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
проверю	984	8448	68	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
папочка	976	8929	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.07	yes				
проверь	975	9477	100	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
верну	960	8603	107	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
ищешь	954	8847	199	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
спишь	938	8474	163	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
вернешься	934	8431	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
разберусь	927	8286	66	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
постарайся	909	7914	333	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
справлюсь	890	7822	111	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
поговори	885	7931	118	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes				
верни	881	7797	143	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.03	yes				
поедешь	873	8124	189	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
нб	868	7407	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
