# Очередь приёмки слов разговорного регистра. Одна строка — одно слово-кандидат.
# Источник и метод: docs/CORPUS.md, решение по OpenSubtitles — docs/CORPUS-OS.md.
# Слова НЕ добавлены ни в один поставляемый словарь.
#
# approved заполняет ТОЛЬКО оператор лично, поимённо. Генератор всегда пишет её пустой;
# правило записано в docs/TATAR-REVIEW-QUEUE.tsv: словарные наборы — не строки интерфейса.
# approved: (пусто) | yes | no
#
# Сортировка — по убыванию пользы: сначала heldout_hits (сколько раз слово встретилось в
# отложенной разговорной выборке, не участвовавшей в его ранжировании), затем train_freq.
# Список длинный намеренно: можно идти сверху вниз и остановиться в любой момент.
#
# heldout_hits  — вхождений в отложенной разговорной выборке (10 % строк, после дедупликации)
# train_freq    — вхождений в обучающей части разговорных корпусов, ВСЕХ вместе
# train_freq_clean — из них вхождений только в корпусах с чистой лицензией (Tatoeba). Именно
#                 это число останется, если решение по OpenSubtitles отменят. Ноль означает,
#                 что слово держится на одних субтитрах, даже когда license_status = clean:
#                 метка clean говорит, что словоформа встречается в Tatoeba, а НЕ что её
#                 частота получена без OpenSubtitles.
# sources       — из каких корпусов слово пришло
# cap_ratio     — доля вхождений с заглавной буквы НЕ в начале строки; чем ближе к 1,
#                 тем вероятнее это имя собственное, проскочившее фильтр. 0.00 — чисто.
# enters_top100k — вошло бы слово в top-100k при слиянии частот (нижняя оценка)
# license_status — под какой лицензией слово получено:
#   clean:CC-BY-2.0-FR      — Tatoeba, грант есть
#   risk-accepted:no-grant  — слово встречается только в OpenSubtitles. Лицензионного гранта у
#                             OpenSubtitles нет вообще: это не «неясная» лицензия, а
#                             отсутствующая. Оператор 2026-08-24 решил взять источник, зная это.
#                             Строка помечена, чтобы происхождение слова оставалось видно;
#                             вычитывается она наравне с чистыми.
# Слова, встречающиеся ТОЛЬКО в QED (research only) или TED2020 (CC BY-NC-ND), в очередь
# не попадают вовсе: их нельзя принять ни при каком решении оператора, и держать их здесь
# значило бы тратить его время. Их число указано в docs/CORPUS.md.
#
# Не попадают и слова, которые не доходят до top-100k даже при ВЕРХНЕЙ границе интервала
# частот: отсечка словаря жёстко 100 000 записей, такое слово не войдёт в ассет ни при каком
# допущении, и вычитывать его — работа, которая ничего не изменит. Сколько таких слов
# отброшено, печатает сам генератор и записано в docs/CORPUS-OS.md.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	approved	reviewer	review_date	note
яраббым	24	130	0	OpenSubtitles	risk-accepted:no-grant	0.76	yes				
док	16	211	0	OpenSubtitles	risk-accepted:no-grant	0.70	yes				
оһ	13	179	0	OpenSubtitles	risk-accepted:no-grant	0.50	yes				
үтерәчәк	9	54	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
джунглига	9	39	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сипкеллем	8	25	0	OpenSubtitles	risk-accepted:no-grant	0.71	yes				
тәртиптәме	7	88	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
хәтерлисеңме	7	71	18	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
әйтмәдең	7	59	24	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
шалтыратырмын	7	41	25	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
ишетәсеңме	6	76	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
джунглида	6	63	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes				
ярдәмең	6	48	13	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
нишләдең	6	47	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
яратасыңмы	6	38	20	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
үтердең	5	54	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
кебекме	5	38	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes				
ишеттең	5	31	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
теләдең	5	30	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
белдеңме	5	25	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
сөйләшермен	5	13	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
әйтмәдеме	5	12	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes				
булдырдың	5	9	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	no				
соңгардым	5	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no				
