# Разговорная частота слов, измеренная миссией tt-dict-accept одним проходом по корпусам.
# Одна строка — слово и число его вхождений в обучающей части разговорных корпусов ПОСЛЕ
# фильтрации (`research/corpus/filters.py`). Ровно эта величина стоит в колонке `train_freq`
# очереди приёмки; здесь она есть и для слов, которых в очереди нет, — для тех, что уже стоят
# в поставляемом словаре.
#
# Зачем этот файл коммитится. Досье разделяет два вопроса: СОСТАВ словаря режется вторым
# независимым источником, ЧАСТОТЫ берутся из всего корпуса целиком, включая OpenSubtitles.
# Значит разговорную частоту надо прибавить и поставляемым словам тоже, иначе шкалы
# расходятся: у новичка частота из 482 млн токенов субтитров, у старожила — из письменного
# Leipzig. Первая сборка этой миссии так и ошиблась, и на префиксе «пап» тройка стала
# `папочка|папин|папочку`. Без этого файла пересборка требовала бы 1,5 ГБ корпуса на диске.
#
# Строк только для слов, которые могут оказаться в ассете: поставляемый словарь плюс очередь.
# Слова с нулевой разговорной частотой пропущены.
# Источник: Tatoeba-v2026-07-08.tt.txt.gz OpenSubtitles-v2024.tt.txt.gz
# Базовый ассет: 2d98ed359aa11261a5042a13c5ca9459c6e365c6ab4bf0563d0e3604a7485cae
# Пересоздаётся: python3 research/corpus/measure_accept.py <tag> out/shipped-1.8.4 <корпуса>
word	conv_freq
а	26
аааа	3
абага	10
абай	5
абау	44
аббат	4
абзар	10
абзарда	6
абзый	73
абзыйны	3
абруе	7
абруен	6
абруена	4
абруйлы	19
абсолют	8
абстракт	6
абсурд	4
абыегыз	3
абыем	66
абыема	7
абыемны	5
абыемның	13
абыең	33
абыеңа	4
абыеңны	8
абыеңның	4
абый	107
абыйлар	4
абыйлары	5
абыйларым	3
абыйсы	33
абыйсын	4
абыйсына	4
абынды	4
абынып	5
абыстай	4
ава	3
аваз	11
авазлар	5
авазны	3
аванс	4
авансны	4
авар	3
аварга	3
авария	14
авариягә	11
август	6
августта	5
авиаоешмасы	5
австралиялеләр	3
австралиянең	3
автобус	67
автобуска	22
автобуслар	3
автобусны	9
автобуста	22
автомат	7
автоматик	8
автоматы	3
автомобилем	3
автомобиль	22
автомобильләр	6
автор	8
авторлары	4
авторлык	4
авторның	5
авторы	13
авыз	47
авызга	5
авызда	4
авыздан	12
авызлы	3
авызны	6
авызы	17
авызыгызны	8
авызымны	3
авызын	23
авызына	17
авызында	5
авызыннан	5
авызың	11
авызыңа	8
авызыңнан	3
авызыңны	77
авыл	70
авылга	21
авылда	32
авылдан	6
авыллар	3
авылларда	6
авылны	8
авылның	6
авылы	7
авылында	8
авыр	358
авырая	3
авырга	4
авырдыр	4
авырлы	4
авырлыгы	17
авырлыгым	3
авырлыгымны	3
авырлыгын	5
авырлыгың	4
авырлык	17
авырлыклар	7
авырлыкта	3
авырмы	8
авыррак	19
авырта	87
авыртадыр	3
авыртамы	15
авыртачак	10
авырткан	8
авыртмый	7
авыртты	5
авырттырды	4
авырттырдым	5
авырту	38
авыртуга	5
авыртудан	8
авыртулы	4
авыртуны	15
авыртуы	9
авыртуыннан	5
авыртып	3
авыру	58
авыруга	6
авырудан	11
авырулар	12
авырулардан	3
авыруны	8
авыруның	14
авыруы	12
авыры	4
авырый	37
авырып	21
ага	45
агай	7
агара	3
агарган	4
агарды	3
агарынган	4
агарынып	5
агарып	3
агач	154
агачка	27
агачлар	32
агачларга	4
агачларда	6
агачларны	16
агачлары	6
агачны	15
агачның	10
агачта	13
агачтан	28
агачы	21
агачын	4
агачының	3
агент	10
агентлар	8
агентлыгы	4
агрессив	10
агу	27
агулаган	3
агулады	3
агулану	5
агулау	3
агулы	22
агулый	3
агуны	8
агуы	7
агыз	3
агызу	3
агызып	3
агыла	3
агым	15
агымга	4
агымдагы	5
агымы	8
агып	17
агыры	4
адам	4
адашкан	3
адаштык	4
адаштым	6
адашу	3
адашып	8
адвокат	14
адрес	14
адресны	6
адресы	3
адресыгызны	4
адресым	4
адресымны	3
адресын	12
адресыңны	3
адым	45
адымга	5
адымда	7
адымнар	9
адымнарны	3
адымны	4
адымы	4
адәм	99
адәмгә	5
адәмне	6
адәмнең	5
ае	8
аек	19
аен	4
аенда	18
аеннан	3
аер	3
аера	18
аерма	44
аермалы	12
аерманы	12
аермасы	22
аермасын	6
аермачык	9
аермый	3
аеру	10
аеруча	44
аерыла	22
аерылалар	3
аерылган	14
аерылганны	3
аерылгысыз	8
аерылды	7
аерылдык	4
аерылмас	4
аерылу	7
аерылып	17
аерылырга	8
аерылышкан	4
аерылышты	3
аерылыштык	7
аерылышу	7
аерылышырга	7
аерым	70
аерып	17
аерырга	8
аждаһа	24
аждаһалар	5
аз	188
азагы	6
азагында	11
азак	7
азат	129
азатлык	32
азатлыкны	4
азгын	3
аздан	3
азиядә	3
азот	16
азрак	52
азыгы	3
азык	16
азыкны	4
азәрбайҗан	4
ай	240
айбалта	3
айга	34
айгыр	4
айда	52
айдан	29
айдар	3
айлар	3
айларда	5
айлы	5
айлык	5
айнур	9
айны	9
айнып	4
айның	11
айова	3
ак	167
академик	3
акай	3
акбур	5
акка	5
аккан	5
аккош	25
аккумулятор	6
аккумуляторлар	3
аккургаш	9
акланмады	3
акланырга	3
аклар	4
акларга	3
аклыгы	3
аклый	7
акны	5
акрын	39
акрынлап	7
акрынрак	8
аксак	9
аксакал	3
аксым	5
актарып	3
актер	10
актив	15
актриса	4
актуаль	3
акты	4
актыгы	26
актык	3
актыклары	3
актёрлык	4
акула	6
акулалар	5
акупунктура	3
акцент	4
акценты	7
акцияләр	6
акцияләрне	3
акча	459
акчага	21
акчагыз	6
