# ОТКЛОНЕНО машинной приёмкой. Миссия tt-dict-widen, отчёт — docs/DICT-WIDEN.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом, а
# затем, посмотрев сто случайных отклонённых, снял и планку второго источника.
#
# ПРАВИЛО 1.9.1: принимается ВСЁ, кроме формальных обрывков и слов, исключённых оператором.
#   fragment         — формальный обрывок: короче 4 букв или без единой гласной (аеиоуыэюяё)
#   operator-excluded — оператор назвал слово поимённо: можна
# Прежняя планка 1.9.0 больше не решает судьбу слова, но считается и записана меткой, чтобы
# происхождение строки было видно файлом:
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   operator-widened — прежняя планка отклоняла (single-source или cap_ratio >= 0.50),
#                      принято решением оператора; прежняя причина стоит в rule_detail
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
ме	2124	19092	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.77	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
щрн	1065	9263	0	OpenSubtitles	risk-accepted:no-grant	0.79	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
нб	868	7407	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (2); прежнее правило: single-source
фп	653	5869	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (2); прежнее правило: single-source
бш	542	4541	0	OpenSubtitles	risk-accepted:no-grant	0.70	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
йо	424	4043	0	OpenSubtitles	risk-accepted:no-grant	0.38	yes	fragment	короче 4 букв (2); прежнее правило: single-source
кбй	412	3560	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
иб	405	3580	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (2); прежнее правило: single-source
мн	389	3609	0	OpenSubtitles	risk-accepted:no-grant	0.62	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
мпх	305	2636	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
гйб	286	2306	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
рпх	273	2316	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes	fragment	короче 4 букв (3); прежнее правило: single-source
фзн	258	2456	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
бяе	242	2385	0	OpenSubtitles	risk-accepted:no-grant	0.77	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
фпн	237	2150	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
бхфь	219	2131	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	ни одной гласной; прежнее правило: single-source
фпх	217	1825	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ьфй	206	1730	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
упх	201	1894	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
дем	199	1932	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	fragment	короче 4 букв (3); прежнее правило: single-source
уе	189	1856	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (2); прежнее правило: single-source
брь	189	1372	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
нмх	177	1681	0	OpenSubtitles	risk-accepted:no-grant	0.77	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
ть	176	1352	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	fragment	короче 4 букв (2); прежнее правило: single-source
йаи	166	1527	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ёй	161	1454	0	OpenSubtitles	risk-accepted:no-grant	0.74	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
бнр	151	1289	0	OpenSubtitles	risk-accepted:no-grant	0.61	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
уфп	148	1483	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
бн	145	1354	0	OpenSubtitles	risk-accepted:no-grant	0.34	yes	fragment	короче 4 букв (2); прежнее правило: single-source
бюя	144	1237	0	OpenSubtitles	risk-accepted:no-grant	0.77	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
мет	136	1044	0	OpenSubtitles	risk-accepted:no-grant	0.13	yes	fragment	короче 4 букв (3); прежнее правило: single-source
фзт	134	1029	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
фй	130	1301	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	fragment	короче 4 букв (2); прежнее правило: single-source
соу	129	1111	0	OpenSubtitles	risk-accepted:no-grant	0.43	yes	fragment	короче 4 букв (3); прежнее правило: single-source
тгм	127	1018	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	fragment	короче 4 букв (3); прежнее правило: single-source
кх	126	1145	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.68	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
лиа	119	1024	0	OpenSubtitles	risk-accepted:no-grant	0.56	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
але	118	950	0	OpenSubtitles	risk-accepted:no-grant	0.60	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
поу	115	959	0	OpenSubtitles	risk-accepted:no-grant	0.16	yes	fragment	короче 4 букв (3); прежнее правило: single-source
циа	111	1017	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ун	109	869	0	OpenSubtitles	risk-accepted:no-grant	0.70	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
бюл	107	1068	0	OpenSubtitles	risk-accepted:no-grant	0.76	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
мр	107	951	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.54	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
тьы	104	1037	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
вь	104	898	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	fragment	короче 4 букв (2); прежнее правило: single-source
дн	103	890	0	OpenSubtitles	risk-accepted:no-grant	0.69	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
мбт	102	970	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
блль	102	839	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
фпхт	101	821	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
едю	100	905	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ето	100	827	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
зто	99	796	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
апо	96	769	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes	fragment	короче 4 букв (3); прежнее правило: single-source
убт	93	861	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
оти	93	744	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	fragment	короче 4 букв (3); прежнее правило: single-source
эн	92	751	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.79	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
тоу	88	725	0	OpenSubtitles	risk-accepted:no-grant	0.16	yes	fragment	короче 4 букв (3); прежнее правило: single-source
мйб	85	884	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
янм	85	697	0	OpenSubtitles	risk-accepted:no-grant	0.08	yes	fragment	короче 4 букв (3); прежнее правило: single-source
кй	80	780	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (2); прежнее правило: single-source
рщт	79	687	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
мь	79	587	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	fragment	короче 4 букв (2); прежнее правило: single-source
чт	79	580	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	fragment	короче 4 букв (2); прежнее правило: single-source
пй	78	679	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (2); прежнее правило: single-source
яс	75	710	0	OpenSubtitles	risk-accepted:no-grant	0.29	yes	fragment	короче 4 букв (2); прежнее правило: single-source
ами	75	644	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.76	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
нбй	73	635	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
тук	73	566	0	OpenSubtitles	risk-accepted:no-grant	0.46	yes	fragment	короче 4 букв (3); прежнее правило: single-source
даа	72	671	0	OpenSubtitles	risk-accepted:no-grant	0.15	yes	fragment	короче 4 букв (3); прежнее правило: single-source
хот	71	651	0	OpenSubtitles	risk-accepted:no-grant	0.54	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
ша	70	453	0	OpenSubtitles	risk-accepted:no-grant	0.69	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
вай	69	693	0	OpenSubtitles	risk-accepted:no-grant	0.78	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
цде	68	754	0	OpenSubtitles	risk-accepted:no-grant	0.79	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
нуу	67	443	0	OpenSubtitles	risk-accepted:no-grant	0.45	yes	fragment	короче 4 букв (3); прежнее правило: single-source
кьфй	66	539	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
эля	65	783	0	OpenSubtitles	risk-accepted:no-grant	0.25	yes	fragment	короче 4 букв (3); прежнее правило: single-source
егю	65	657	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
даш	65	590	0	OpenSubtitles	risk-accepted:no-grant	0.76	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
фйт	64	570	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
зая	62	398	0	OpenSubtitles	risk-accepted:no-grant	0.14	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ая	61	628	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.62	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
гер	61	510	0	OpenSubtitles	risk-accepted:no-grant	0.39	yes	fragment	короче 4 букв (3); прежнее правило: single-source
бип	61	467	0	OpenSubtitles	risk-accepted:no-grant	0.13	yes	fragment	короче 4 букв (3); прежнее правило: single-source
вьы	60	712	0	OpenSubtitles	risk-accepted:no-grant	0.18	yes	fragment	короче 4 букв (3); прежнее правило: single-source
дог	60	635	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.60	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
тру	60	426	0	OpenSubtitles	risk-accepted:no-grant	0.73	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
ууу	59	592	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.51	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
ндхм	59	551	0	OpenSubtitles	risk-accepted:no-grant	0.68	yes	fragment	ни одной гласной; прежнее правило: proper-noun-evidence
юр	59	483	0	OpenSubtitles	risk-accepted:no-grant	0.76	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
кис	59	456	0	OpenSubtitles	risk-accepted:no-grant	0.46	yes	fragment	короче 4 букв (3); прежнее правило: single-source
еуэ	58	503	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
хат	58	314	0	OpenSubtitles	risk-accepted:no-grant	0.71	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
айс	56	500	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.78	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
йи	55	494	0	OpenSubtitles	risk-accepted:no-grant	0.69	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
хоп	53	586	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.50	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
бь	53	501	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (2); прежнее правило: single-source
вог	52	429	0	OpenSubtitles	risk-accepted:no-grant	0.66	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
уфз	50	355	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
кбль	49	454	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
баш	48	498	0	OpenSubtitles	risk-accepted:no-grant	0.60	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
вфнм	48	478	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
вфхм	48	396	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
вое	47	351	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	fragment	короче 4 букв (3); прежнее правило: single-source
зай	47	333	0	OpenSubtitles	risk-accepted:no-grant	0.12	yes	fragment	короче 4 букв (3); прежнее правило: single-source
мзн	46	354	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ьфбн	45	267	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
пек	44	447	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.79	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
мьнп	44	340	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	ни одной гласной; прежнее правило: single-source
люб	42	451	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.64	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
мьы	42	383	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
уно	42	377	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.71	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
дей	42	370	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.64	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
тым	42	213	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes	fragment	короче 4 букв (3); прежнее правило: single-source
дбю	41	369	0	OpenSubtitles	risk-accepted:no-grant	0.38	yes	fragment	короче 4 букв (3); прежнее правило: single-source
кам	41	323	0	OpenSubtitles	risk-accepted:no-grant	0.68	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
ало	41	301	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.75	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
аты	41	280	0	OpenSubtitles	risk-accepted:no-grant	0.21	yes	fragment	короче 4 букв (3); прежнее правило: single-source
нян	40	416	0	OpenSubtitles	risk-accepted:no-grant	0.35	yes	fragment	короче 4 букв (3); прежнее правило: single-source
рою	40	370	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.71	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
нэ	40	320	0	OpenSubtitles	risk-accepted:no-grant	0.37	yes	fragment	короче 4 букв (2); прежнее правило: single-source
ьчй	40	298	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
щмм	40	295	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ась	40	272	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.80	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
ке	39	418	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.62	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
чиа	39	414	0	OpenSubtitles	risk-accepted:no-grant	0.80	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
фру	39	361	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	fragment	короче 4 букв (3); прежнее правило: single-source
йа	39	314	0	OpenSubtitles	risk-accepted:no-grant	0.52	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
лё	39	300	0	OpenSubtitles	risk-accepted:no-grant	0.76	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
рсйн	39	267	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	ни одной гласной; прежнее правило: single-source
кхм	38	310	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	fragment	короче 4 букв (3); прежнее правило: single-source
бнглнфмн	38	301	0	OpenSubtitles	risk-accepted:no-grant	0.68	yes	fragment	ни одной гласной; прежнее правило: proper-noun-evidence
лхм	36	368	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (3); прежнее правило: single-source
уу	36	365	0	OpenSubtitles	risk-accepted:no-grant	0.23	yes	fragment	короче 4 букв (2); прежнее правило: single-source
мня	36	323	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	fragment	короче 4 букв (3); прежнее правило: single-source
йюм	36	279	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
нркхвмн	36	267	0	OpenSubtitles	risk-accepted:no-grant	0.46	yes	fragment	ни одной гласной; прежнее правило: single-source
зо	35	366	0	OpenSubtitles	risk-accepted:no-grant	0.79	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
брль	35	306	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	ни одной гласной; прежнее правило: single-source
псйх	35	272	0	OpenSubtitles	risk-accepted:no-grant	0.51	yes	fragment	ни одной гласной; прежнее правило: proper-noun-evidence
дас	34	292	0	OpenSubtitles	risk-accepted:no-grant	0.63	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
фак	34	230	0	OpenSubtitles	risk-accepted:no-grant	0.35	yes	fragment	короче 4 букв (3); прежнее правило: single-source
кои	33	336	0	OpenSubtitles	risk-accepted:no-grant	0.25	yes	fragment	короче 4 букв (3); прежнее правило: single-source
най	33	253	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.80	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
шш	33	235	0	OpenSubtitles	risk-accepted:no-grant	0.08	yes	fragment	короче 4 букв (2); прежнее правило: single-source
ьлб	33	212	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
тов	32	353	0	OpenSubtitles	risk-accepted:no-grant	0.18	yes	fragment	короче 4 букв (3); прежнее правило: single-source
вю	32	302	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	fragment	короче 4 букв (2); прежнее правило: single-source
хдх	32	285	0	OpenSubtitles	risk-accepted:no-grant	0.77	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
ням	32	268	0	OpenSubtitles	risk-accepted:no-grant	0.16	yes	fragment	короче 4 букв (3); прежнее правило: single-source
пом	32	264	0	OpenSubtitles	risk-accepted:no-grant	0.79	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
ярл	31	266	0	OpenSubtitles	risk-accepted:no-grant	0.16	yes	fragment	короче 4 букв (3); прежнее правило: single-source
рйп	31	244	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
уау	31	239	0	OpenSubtitles	risk-accepted:no-grant	0.18	yes	fragment	короче 4 букв (3); прежнее правило: single-source
еб	31	225	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	fragment	короче 4 букв (2); прежнее правило: single-source
зум	30	377	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.64	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
тгс	30	334	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
пуф	30	312	0	OpenSubtitles	risk-accepted:no-grant	0.15	yes	fragment	короче 4 букв (3); прежнее правило: single-source
кри	30	288	0	OpenSubtitles	risk-accepted:no-grant	0.70	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
бос	30	231	0	OpenSubtitles	risk-accepted:no-grant	0.39	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ве	30	226	0	OpenSubtitles	risk-accepted:no-grant	0.34	yes	fragment	короче 4 букв (2); прежнее правило: single-source
рщ	30	222	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (2); прежнее правило: single-source
бэм	30	175	0	OpenSubtitles	risk-accepted:no-grant	0.70	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
боа	29	307	0	OpenSubtitles	risk-accepted:no-grant	0.48	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ома	29	299	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.77	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
кьнщ	29	293	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
хммм	29	284	0	OpenSubtitles	risk-accepted:no-grant	0.18	yes	fragment	ни одной гласной; прежнее правило: single-source
рют	29	283	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	fragment	короче 4 букв (3); прежнее правило: single-source
ови	29	255	0	OpenSubtitles	risk-accepted:no-grant	0.12	yes	fragment	короче 4 букв (3); прежнее правило: single-source
аде	29	245	0	OpenSubtitles	risk-accepted:no-grant	0.59	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
мит	29	244	0	OpenSubtitles	risk-accepted:no-grant	0.65	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
бкьмб	29	225	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
тра	29	212	0	OpenSubtitles	risk-accepted:no-grant	0.74	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
пок	29	202	0	OpenSubtitles	risk-accepted:no-grant	0.57	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
бур	28	366	0	OpenSubtitles	risk-accepted:no-grant	0.19	yes	fragment	короче 4 букв (3); прежнее правило: single-source
жо	28	338	0	OpenSubtitles	risk-accepted:no-grant	0.77	yes	fragment	короче 4 букв (2); прежнее правило: proper-noun-evidence
стгм	28	338	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	fragment	ни одной гласной; прежнее правило: single-source
рбйдйь	28	287	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	ни одной гласной; прежнее правило: single-source
шоб	28	252	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
можна	28	229	1	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	operator-excluded	исключено оператором поимённо (прежнее правило: two-corpora)
рпэ	28	220	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
яюм	28	217	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
лгм	28	215	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	fragment	короче 4 букв (3); прежнее правило: single-source
гал	28	199	0	OpenSubtitles	risk-accepted:no-grant	0.62	yes	fragment	короче 4 букв (3); прежнее правило: proper-noun-evidence
днм	28	196	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	fragment	короче 4 букв (3); прежнее правило: single-source
бра	27	255	0	OpenSubtitles	risk-accepted:no-grant	0.17	yes	fragment	короче 4 букв (3); прежнее правило: single-source
