# Порядок вычитки: сверху вниз. Первая порция — самые частые слова.
порция	язык	слов	первое	последнее	частота_первого	частота_последнего	с_подсказкой	файл
ru-001	русская	200	послушай	оставишь	62429	4474	7	docs/review-batches/ru/ru-001.tsv
ru-002	русская	200	позови	отведи	3767	3280	9	docs/review-batches/ru/ru-002.tsv
ru-003	русская	200	эээ	придумаю	2896	2394	6	docs/review-batches/ru/ru-003.tsv
ru-004	русская	200	вытащим	сдамся	2337	1732	7	docs/review-batches/ru/ru-004.tsv
ru-005	русская	200	жалеешь	отпустим	1776	1629	10	docs/review-batches/ru/ru-005.tsv
ru-006	русская	200	заскочить	злилась	1593	1538	10	docs/review-batches/ru/ru-006.tsv
ru-007	русская	200	пивка	домашку	1489	1260	7	docs/review-batches/ru/ru-007.tsv
ru-008	русская	200	бюя	привидения	1237	1158	6	docs/review-batches/ru/ru-008.tsv
ru-009	русская	200	побрал	поднимемся	1147	1268	7	docs/review-batches/ru/ru-009.tsv
ru-010	русская	200	нервах	берёте	1255	1112	5	docs/review-batches/ru/ru-010.tsv
ru-011	русская	200	сбежим	завтрашней	1110	1061	6	docs/review-batches/ru/ru-011.tsv
ru-012	русская	200	беспокоитесь	ревную	1060	1080	9	docs/review-batches/ru/ru-012.tsv
ru-013	русская	200	сражаемся	отпечатками	1064	833	6	docs/review-batches/ru/ru-013.tsv
ru-014	русская	200	кладите	сдохну	831	838	9	docs/review-batches/ru/ru-014.tsv
ru-015	русская	200	капельку	заставляете	829	756	6	docs/review-batches/ru/ru-015.tsv
ru-016	русская	200	пригодилась	дразнили	756	553	5	docs/review-batches/ru/ru-016.tsv
ru-017	русская	200	кредитке	жалкую	541	740	6	docs/review-batches/ru/ru-017.tsv
ru-018	русская	200	обманываю	бросала	740	701	4	docs/review-batches/ru/ru-018.tsv
ru-019	русская	200	значишь	борделе	697	758	6	docs/review-batches/ru/ru-019.tsv
ru-020	русская	200	ловим	рискнула	753	484	8	docs/review-batches/ru/ru-020.tsv
ru-021	русская	200	придержите	взломала	481	592	5	docs/review-batches/ru/ru-021.tsv
ru-022	русская	200	прижми	бутылочка	588	532	9	docs/review-batches/ru/ru-022.tsv
ru-023	русская	200	докладывай	расколется	531	514	3	docs/review-batches/ru/ru-023.tsv
ru-024	русская	200	стрип	ножик	513	514	9	docs/review-batches/ru/ru-024.tsv
ru-025	русская	200	сакэ	сообразить	512	525	13	docs/review-batches/ru/ru-025.tsv
ru-026	русская	200	отослали	склоняюсь	523	545	11	docs/review-batches/ru/ru-026.tsv
