# Состояние вычитки на момент последнего запуска collect.
порция	язык	слов	состояние	отказов	принято
ru-001	русская	200	не вычитано	0	0
ru-002	русская	200	не вычитано	0	0
ru-003	русская	200	не вычитано	0	0
ru-004	русская	200	не вычитано	0	0
ru-005	русская	200	не вычитано	0	0
ru-006	русская	200	не вычитано	0	0
ru-007	русская	200	не вычитано	0	0
ru-008	русская	200	не вычитано	0	0
ru-009	русская	200	не вычитано	0	0
ru-010	русская	200	не вычитано	0	0
ru-011	русская	200	не вычитано	0	0
ru-012	русская	200	не вычитано	0	0
ru-013	русская	200	не вычитано	0	0
ru-014	русская	200	не вычитано	0	0
ru-015	русская	200	не вычитано	0	0
ru-016	русская	200	не вычитано	0	0
ru-017	русская	200	не вычитано	0	0
ru-018	русская	200	не вычитано	0	0
ru-019	русская	200	не вычитано	0	0
ru-020	русская	200	не вычитано	0	0
ru-021	русская	200	не вычитано	0	0
ru-022	русская	200	не вычитано	0	0
ru-023	русская	200	не вычитано	0	0
ru-024	русская	200	не вычитано	0	0
ru-025	русская	200	не вычитано	0	0
ru-026	русская	200	не вычитано	0	0
ru-027	русская	200	не вычитано	0	0
ru-028	русская	200	не вычитано	0	0
ru-029	русская	200	не вычитано	0	0
ru-030	русская	200	не вычитано	0	0
ru-031	русская	200	не вычитано	0	0
ru-032	русская	200	не вычитано	0	0
ru-033	русская	200	не вычитано	0	0
ru-034	русская	200	не вычитано	0	0
ru-035	русская	200	не вычитано	0	0
ru-036	русская	200	не вычитано	0	0
ru-037	русская	200	не вычитано	0	0
ru-038	русская	200	не вычитано	0	0
ru-039	русская	200	не вычитано	0	0
ru-040	русская	200	не вычитано	0	0
ru-041	русская	200	не вычитано	0	0
ru-042	русская	200	не вычитано	0	0
ru-043	русская	200	не вычитано	0	0
ru-044	русская	200	не вычитано	0	0
ru-045	русская	200	не вычитано	0	0
ru-046	русская	200	не вычитано	0	0
ru-047	русская	200	не вычитано	0	0
ru-048	русская	200	не вычитано	0	0
ru-049	русская	200	не вычитано	0	0
ru-050	русская	200	не вычитано	0	0
ru-051	русская	200	не вычитано	0	0
ru-052	русская	200	не вычитано	0	0
ru-053	русская	200	не вычитано	0	0
ru-054	русская	200	не вычитано	0	0
ru-055	русская	200	не вычитано	0	0
ru-056	русская	200	не вычитано	0	0
ru-057	русская	200	не вычитано	0	0
ru-058	русская	200	не вычитано	0	0
