# ПОРЦИЯ ru-017 — 17 из 178. Слова 3201–3400 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	кредитке	541	TS	
.	фокусник	1027	TS	
.	пройдемся	993	S	
.	попрощавшись	902	TS	
.	привязался	880	TS	
.	волосок	832	TS	
.	оденься	832	TS	
.	рулет	818	TS	
.	рождена	813	TS	
.	твердит	808	TS	
.	зажигалка	805	TS	
.	голубушка	799	TS	
.	суди	798	TS	
.	четвертак	791	S	
.	удивишься	786	TS	
.	еямбй	783	S	
.	напарница	773	S	
.	стащила	771	TS	
.	кузеном	769	S	
.	козлина	768	S	
.	повторяешь	760	TS	
.	поболтали	758	TS	
.	уфзн	757	S	
.	коронер	748	S	
.	войди	747	TS	
.	радуешься	746	TS	
.	кепка	744	TS	
.	пойте	744	TS	
.	предам	743	TS	
.	подсобке	742	S	
.	польщена	740	TS	
.	талантлива	740	TS	
.	уединиться	737	TS	
.	спалил	736	TS	
.	разбудите	733	TS	
.	мерзкое	732	TS	
.	поводок	731	TS	
.	напиваться	729	TS	
.	помирать	726	TS	
.	наповал	725	TS	
.	влезла	723	TS	
.	обеспечу	719	TS	
.	меняй	717	TS	
.	сконцентрируйся	707	TS	
.	тусовка	705	TS	
.	предупредите	701	TS	
.	упоминай	698	TS	
.	прибереги	695	TS	
.	противозаконно	694	TS	
.	бифштекс	693	TS	
.	гребаную	693	S	
.	убойный	686	S	
.	ковбоев	682	TS	
.	яички	679	TS	
.	стараетесь	671	TS	
.	родинка	658	TS	
.	вонючая	652	S	
.	прислушайся	651	TS	
.	рыться	651	TS	
.	выгоню	647	TS	
.	поддержи	647	TS	
.	мамуль	640	S	
.	отлучиться	632	TS	
.	приспичило	610	TS	
.	показывайте	603	TS	
.	стремишься	576	TS	
.	очаровательным	575	TS	
.	отдыхаем	563	TS	
.	комиссионные	557	TS	
.	надеваю	907	TS	
.	кашляет	838	TS	
.	перестаю	793	TS	
.	манерам	792	TS	
.	отняла	787	TS	
.	кй	780	S	рядом: егю 172, еуэ 138, бн 117
.	жвачки	774	TS	
.	милее	773	TS	
.	пропускаю	771	TS	
.	продаёшь	748	TS	
.	далековато	747	TS	
.	твердил	739	TS	
.	дикарь	736	TS	
.	столика	733	TS	
.	аппетитно	720	TS	
.	покатаемся	719	TS	
.	обожаем	714	TS	
.	ризотто	709	TS	
.	послышалось	703	TS	
.	пошлет	699	TS	
.	переведите	689	TS	
.	терпи	686	TS	
.	кредитка	683	TS	
.	влетит	674	TS	
.	морковку	674	TS	
.	малявка	670	TS	
.	избегаю	666	TS	
.	почём	659	TS	
.	жареную	658	TS	
.	поторопимся	653	TS	
.	вмешиваюсь	649	TS	
.	заждались	644	TS	
.	закурить	643	TS	
.	грохнуть	632	TS	
.	пошевелить	628	TS	
.	порежу	623	TS	
.	дурачиться	622	TS	
.	обнимаю	617	TS	
.	горничную	606	TS	
.	познакомлюсь	606	TS	
.	значка	599	TS	
.	понравлюсь	596	TS	
.	дождитесь	593	TS	
.	объятья	588	TS	
.	относись	526	TS	
.	кишит	899	TS	
.	отвратительные	895	TS	
.	поиметь	854	S	
.	провернул	850	TS	
.	вежлив	836	TS	
.	таблетка	829	TS	
.	бабули	812	TS	
.	выследил	811	TS	
.	цыпочка	796	TS	
.	арахисовое	781	TS	
.	посмели	779	TS	
.	задержи	773	TS	
.	невинным	762	TS	
.	семьсот	757	TS	
.	пташка	749	TS	
.	суперзвезда	749	TS	
.	папины	746	TS	
.	жалких	740	TS	
.	опа	740	TS	Опа, ловлю на слове!
.	бездельник	730	TS	
.	тратьте	724	TS	
.	кинь	720	TS	
.	ненормальные	717	TS	
.	попей	717	TS	
.	оплакивать	710	TS	
.	пощаде	705	TS	
.	завелся	702	S	
.	покойники	700	TS	
.	шурин	700	TS	
.	впервой	699	TS	
.	подумаете	699	TS	
.	рассмешить	699	TS	
.	опаздывают	690	TS	
.	кузены	689	TS	
.	рщт	687	S	рядом: нпмяжщ 89, иб 87, еянбй 82
.	выберется	686	TS	
.	буди	684	TS	
.	пожелай	676	TS	
.	поменяемся	673	TS	
.	преувеличиваешь	668	TS	
.	поправь	667	TS	
.	подготовим	657	S	
.	торчишь	652	TS	
.	золотце	651	TS	
.	рассчитывай	635	TS	
.	нарушаю	627	TS	
.	удрал	615	TS	
.	позлить	614	TS	
.	сдержаться	613	TS	
.	выдумали	604	TS	
.	выследили	601	TS	
.	убежим	601	TS	
.	наряжаться	600	TS	
.	ляг	599	TS	Ляг на пол!
.	пилюли	597	TS	
.	потрудился	597	TS	
.	подлая	594	TS	
.	жалкого	589	TS	
.	мь	587	S	рядом: должнь 17, здесь 16, можем 14
.	блинчиков	586	TS	
.	красоток	583	TS	
.	чт	580	S	рядом: ты 56, ну 52, потому 40
.	позавтракаем	576	TS	
.	милостью	571	S	
.	охочусь	571	TS	
.	реветь	571	TS	
.	нянькой	559	TS	
.	зарезали	843	TS	
.	моргнуть	809	TS	
.	протестую	809	TS	
.	болваны	808	TS	
.	передумаете	796	TS	
.	соображаешь	787	TS	
.	тунец	782	TS	
.	стесняюсь	779	TS	
.	бешеная	759	TS	
.	вытирать	759	TS	
.	чокнутой	754	TS	
.	подаришь	750	TS	
.	сдерживаться	748	TS	
.	таракан	748	TS	
.	переборщил	747	TS	
.	девственности	743	TS	
.	приглашаешь	741	TS	
.	всплывёт	740	TS	
.	жалкую	740	TS	
