# ПОРЦИЯ tt-012 — 12 из 19. Слова 2201–2400 из 3734 (татарская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	очратканда	4	TS	
.	очраштыгызмы	4	TS	
.	очрашуың	4	TS	
.	очышына	4	S	
.	ошамаганын	4	T	
.	ошатасың	4	T	
.	папайя	4	S	
.	патфайндер	4	S	с заглавной 100% · рядом: миңа 1, аша 1, роверны 1
.	пейзажы	4	T	
.	пешерермен	4	TS	
.	пианистка	4	T	
.	планыгыз	4	T	
.	проблемаларыңны	4	TS	
.	пунш	4	S	
.	пычакларны	4	TS	
.	пәрдәләрне	4	TS	
.	радары	4	TS	
.	ричардка	4	S	с заглавной 100% · рядом: компасны 1
.	рәхәтме	4	TS	
.	сагынасыз	4	TS	
.	сайладыгызмы	4	TS	
.	сакалыңны	4	TS	
.	салдан	4	S	
.	салдыр	4	S	
.	салкынмы	4	T	
.	санакларны	4	TS	
.	сандал	4	T	
.	санжей	4	S	с заглавной 100% · рядом: сингх 2, миңа 1, исемем 1
.	сатасыз	4	TS	
.	секундың	4	S	
.	серемне	4	TS	
.	сиздеңме	4	TS	
.	сихерләргә	4	S	
.	сихерчелек	4	S	
.	сияргә	4	S	
.	сказал	4	T	
.	скафандр	4	S	с заглавной 50% · рядом: минем 1, телеметриясе 1, зарарланган 1
.	скраффи	4	S	с заглавной 100% · рядом: йогышлы 1, матдәсе 1, швабра 1
.	снитчны	4	S	
.	сойерның	4	S	с заглавной 100% · рядом: син 1, гомерен 1, килеп 1
.	сонар	4	S	
.	сорадыгызмы	4	TS	
.	сорыйсыз	4	TS	
.	суалчаннарга	4	S	
.	сугасың	4	S	
.	сузма	4	TS	
.	суктым	4	TS	
.	сулыймы	4	TS	
.	сунарчысы	4	S	
.	супермаркетка	4	T	
.	сызгырды	4	TS	
.	сыйланыгыз	4	TS	
.	сыртлы	4	TS	
.	сүзләреңчә	4	S	
.	сүндермә	4	TS	
.	сәгатегез	4	TS	
.	сөйкемлем	4	S	
.	сөйләвеңне	4	TS	
.	сөйләдемме	4	S	
.	сөйләшкәнеңне	4	TS	
.	сөйләшләрдә	4	T	
.	сөйләшмәделәр	4	TS	
.	сөйләшүеңне	4	TS	
.	сөймәс	4	T	
.	табтым	4	S	
.	тавышлану	4	S	с заглавной 100% · рядом: түбән 2, дәвам 1
.	тайянг	4	S	с заглавной 100% · рядом: шен 3, шеннан 1
.	тапканнарын	4	TS	
.	тапмадың	4	S	
.	тартасыңмы	4	TS	
.	тартмам	4	TS	
.	тартуым	4	T	
.	тартынмагыз	4	TS	
.	тартышы	4	TS	
.	таянма	4	T	
.	теккәндә	4	TS	
.	теләвеңә	4	TS	
.	теләмисеңдер	4	S	
.	тессеракт	4	S	
.	тиделәр	4	S	
.	тизәккә	4	TS	
.	тили	4	S	
.	торуымны	4	T	
.	тотынма	4	T	
.	тролльне	4	S	
.	трон	4	S	с заглавной 100% · рядом: әфәнде 3, ханым 2
.	туганыңны	4	TS	
.	туегыз	4	TS	
.	туктадыгыз	4	TS	
.	туктадымы	4	TS	
.	туктарбыз	4	S	
.	туктармын	4	S	
.	туктатмасаң	4	TS	
.	туктаттыгыз	4	S	
.	туктыйчак	4	S	
.	тулгаклар	4	S	
.	тыкшынма	4	TS	
.	тынычланабыз	4	TS	
.	тырышканын	4	S	
.	тырышмаска	4	TS	
.	тычканнарны	4	TS	
.	тыңламагыз	4	TS	
.	тыңлармын	4	TS	
.	тәмамламадык	4	S	
.	төрегез	4	T	
.	төшерерсең	4	S	
.	төшмә	4	TS	
.	уилер	4	S	с заглавной 100% · рядом: теориясендәге 1, икенче 1, аңа 1
.	уйларсыз	4	TS	
.	уйлыйммы	4	TS	
.	уйныйсызмы	4	TS	
.	укытучымы	4	TS	
.	укыячакмын	4	TS	
.	улыммы	4	S	
.	уолтер	4	S	с заглавной 100% · рядом: мәсәлән 1, кронкайтның 1, карама 1
.	усрак	4	S	
.	утырдыгыз	4	TS	
.	утырттың	4	TS	
.	учагым	4	T	
.	уянасың	4	TS	
.	уяндымы	4	TS	
.	уяндыңмы	4	S	
.	уяттым	4	TS	
.	фазалауны	4	S	
