# ПРИНЯТО машинной приёмкой. Миссия tt-dict-widen, отчёт — docs/DICT-WIDEN.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом, а
# затем, посмотрев сто случайных отклонённых, снял и планку второго источника.
#
# ПРАВИЛО 1.9.1: принимается ВСЁ, кроме формальных обрывков и слов, исключённых оператором.
#   fragment         — формальный обрывок: короче 4 букв или без единой гласной (аеиоуыэюяё)
#   operator-excluded — оператор назвал слово поимённо: можна
# Прежняя планка 1.9.0 больше не решает судьбу слова, но считается и записана меткой, чтобы
# происхождение строки было видно файлом:
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   operator-widened — прежняя планка отклоняла (single-source или cap_ratio >= 0.50),
#                      принято решением оператора; прежняя причина стоит в rule_detail
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
послушай	6818	62429	171	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
собираешься	3287	29028	546	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
детка	2995	27869	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
позволь	2297	20470	260	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
позвоню	2251	20286	561	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
волнуйся	2240	19865	86	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
перестань	2126	18969	461	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.01	yes	two-corpora	OpenSubtitles+Tatoeba
мэм	2089	18616	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.04	yes	two-corpora	OpenSubtitles+Tatoeba
прекрати	1978	17434	229	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.02	yes	two-corpora	OpenSubtitles+Tatoeba
минутку	1976	18307	298	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
