# ОТКЛОНЕНО машинной приёмкой. Миссия tt-dict-accept, отчёт — docs/DICT-ACCEPT.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом.
#
# ПРАВИЛО: слово принимается, если его подтверждает второй независимый источник
# и регистровая улика не выдаёт в нём имя собственное (cap_ratio < 0.50).
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   single-source    — подтверждения нет: один корпус и ничего больше
#   proper-noun-evidence — >= 0.50 вхождений с заглавной буквы не в начале строки
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
ме	2124	19092	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.77	yes	proper-noun-evidence	cap_ratio=0.77>=0.50
щрн	1065	9263	0	OpenSubtitles	risk-accepted:no-grant	0.79	yes	proper-noun-evidence	cap_ratio=0.79>=0.50
нб	868	7407	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фп	653	5869	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
бш	542	4541	0	OpenSubtitles	risk-accepted:no-grant	0.70	yes	proper-noun-evidence	cap_ratio=0.70>=0.50
чертова	461	4326	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
чертовы	429	4155	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
йо	424	4043	0	OpenSubtitles	risk-accepted:no-grant	0.38	yes	single-source	OpenSubtitles
коммандер	417	3758	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes	single-source	OpenSubtitles
кбй	412	3560	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
иб	405	3580	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
еянбй	402	3825	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
дамочка	392	3403	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
убьешь	390	3661	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
мн	389	3609	0	OpenSubtitles	risk-accepted:no-grant	0.62	yes	proper-noun-evidence	cap_ratio=0.62>=0.50
миледи	388	3258	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	single-source	OpenSubtitles
гребаный	344	2918	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
чертовой	335	2873	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
еякх	327	3001	0	OpenSubtitles	risk-accepted:no-grant	0.80	yes	proper-noun-evidence	cap_ratio=0.80>=0.50
сучки	321	2769	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
мпх	305	2636	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
чтож	300	2783	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
констебль	297	2553	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	single-source	OpenSubtitles
федералы	292	2421	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
гйб	286	2306	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
рпх	273	2316	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes	single-source	OpenSubtitles
прикончить	271	2349	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фзн	258	2456	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
бяе	242	2385	0	OpenSubtitles	risk-accepted:no-grant	0.77	yes	proper-noun-evidence	cap_ratio=0.77>=0.50
фпн	237	2150	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
ублюдков	225	2017	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
бхфь	219	2131	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
зацепки	218	2005	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
огда	217	1850	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фпх	217	1825	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
ьфй	206	1730	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
упх	201	1894	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
дем	199	1932	0	OpenSubtitles	risk-accepted:no-grant	0.06	yes	single-source	OpenSubtitles
оппа	194	1872	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
уе	189	1856	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
брь	189	1372	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
гдеяэ	184	1557	0	OpenSubtitles	risk-accepted:no-grant	0.79	yes	proper-noun-evidence	cap_ratio=0.79>=0.50
нмх	177	1681	0	OpenSubtitles	risk-accepted:no-grant	0.77	yes	proper-noun-evidence	cap_ratio=0.77>=0.50
ть	176	1352	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
копами	171	1444	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
счас	169	1433	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
дамочки	167	1442	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
чертово	166	1533	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
йаи	166	1527	0	OpenSubtitles	risk-accepted:no-grant	0.05	yes	single-source	OpenSubtitles
сраные	166	1475	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
унпньн	165	1702	0	OpenSubtitles	risk-accepted:no-grant	0.69	yes	proper-noun-evidence	cap_ratio=0.69>=0.50
величеству	165	1342	4	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.73	yes	proper-noun-evidence	cap_ratio=0.73>=0.50
мадмуазель	164	1577	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
улику	162	1522	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
ёй	161	1454	0	OpenSubtitles	risk-accepted:no-grant	0.74	yes	proper-noun-evidence	cap_ratio=0.74>=0.50
родео	158	1371	0	OpenSubtitles	risk-accepted:no-grant	0.13	yes	single-source	OpenSubtitles
дерьмово	154	1315	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
бнр	151	1289	0	OpenSubtitles	risk-accepted:no-grant	0.61	yes	proper-noun-evidence	cap_ratio=0.61>=0.50
уфп	148	1483	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сучку	148	1329	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
бн	145	1354	0	OpenSubtitles	risk-accepted:no-grant	0.34	yes	single-source	OpenSubtitles
еимаи	144	1424	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
бюя	144	1237	0	OpenSubtitles	risk-accepted:no-grant	0.77	yes	proper-noun-evidence	cap_ratio=0.77>=0.50
мамуля	143	1279	0	OpenSubtitles	risk-accepted:no-grant	0.13	yes	single-source	OpenSubtitles
засуну	143	1154	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
клево	141	1379	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
кольт	138	1241	0	OpenSubtitles	risk-accepted:no-grant	0.71	yes	proper-noun-evidence	cap_ratio=0.71>=0.50
чутье	138	1158	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сраная	138	1137	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
сонбэ	137	1283	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
девку	136	1259	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
мет	136	1044	0	OpenSubtitles	risk-accepted:no-grant	0.13	yes	single-source	OpenSubtitles
зацепку	135	1182	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сосать	134	1138	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фзт	134	1029	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
орошо	131	1029	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фй	130	1301	0	OpenSubtitles	risk-accepted:no-grant	0.03	yes	single-source	OpenSubtitles
джентельмены	129	1322	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
соу	129	1111	0	OpenSubtitles	risk-accepted:no-grant	0.43	yes	single-source	OpenSubtitles
тгм	127	1018	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	single-source	OpenSubtitles
трахалась	126	1210	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
кх	126	1145	6	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.68	yes	proper-noun-evidence	cap_ratio=0.68>=0.50
прикажите	126	969	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
вить	125	1158	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.66	yes	proper-noun-evidence	cap_ratio=0.66>=0.50
папочки	125	1102	0	OpenSubtitles	risk-accepted:no-grant	0.07	yes	single-source	OpenSubtitles
