# ОТКЛОНЕНО машинной приёмкой. Миссия tt-dict-accept, отчёт — docs/DICT-ACCEPT.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом.
#
# ПРАВИЛО: слово принимается, если его подтверждает второй независимый источник
# и регистровая улика не выдаёт в нём имя собственное (cap_ratio < 0.50).
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   single-source    — подтверждения нет: один корпус и ничего больше
#   proper-noun-evidence — >= 0.50 вхождений с заглавной буквы не в начале строки
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
яраббым	24	130	0	OpenSubtitles	risk-accepted:no-grant	0.76	yes	proper-noun-evidence	cap_ratio=0.76>=0.50
док	16	211	0	OpenSubtitles	risk-accepted:no-grant	0.70	yes	proper-noun-evidence	cap_ratio=0.70>=0.50
оһ	13	179	0	OpenSubtitles	risk-accepted:no-grant	0.50	yes	proper-noun-evidence	cap_ratio=0.50>=0.50
сипкеллем	8	25	0	OpenSubtitles	risk-accepted:no-grant	0.71	yes	proper-noun-evidence	cap_ratio=0.71>=0.50
джунглида	6	63	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
кебекме	5	38	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
соңгардым	5	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
уһ	4	43	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
янни	4	21	21	Tatoeba	clean:CC-BY-2.0-FR	1.00	yes	proper-noun-evidence	cap_ratio=1.00>=0.50
очабыз	4	20	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
чиксезлек	4	14	0	OpenSubtitles	risk-accepted:no-grant	0.33	yes	single-source	OpenSubtitles
этәргечләр	4	11	0	OpenSubtitles	risk-accepted:no-grant	0.33	yes	single-source	OpenSubtitles
оу	4	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
тәмамла	4	8	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
бла	4	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
галәмнәр	4	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
мэринең	4	4	4	Tatoeba	clean:CC-BY-2.0-FR	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
симуляциядә	4	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
