# ПОРЦИЯ ru-139 — 139 из 178. Слова 27601–27800 из 35442 (русская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	таймлайн	172	S	
.	автомастерская	171	S	
.	выметаться	171	S	
.	малышня	171	TS	
.	опозорю	171	TS	
.	подворотне	171	TS	
.	поцапались	171	S	
.	рисовое	171	S	
.	увольняете	171	S	
.	замолвил	170	TS	
.	лошадиную	170	TS	
.	нажили	170	S	
.	нервничаем	170	TS	
.	нечист	170	S	
.	освободитель	170	S	с заглавной 51% · рядом: великий 14, мой 9, ваш 9
.	подпрыгнул	170	TS	
.	рубец	170	S	
.	тарелках	170	TS	
.	доверенный	169	S	
.	доверимся	169	S	
.	дорогущий	169	TS	
.	заброшу	169	TS	
.	забылся	169	TS	
.	заскучаешь	169	S	
.	подвесил	169	TS	
.	сбивай	169	TS	
.	сочувствуешь	169	S	
.	термитов	169	TS	
.	вознаградит	168	TS	
.	выберутся	168	S	
.	гадюшник	168	S	
.	загнан	168	TS	
.	отвлекающим	168	S	
.	побуждения	168	S	
.	свисти	168	TS	
.	тишь	168	TS	
.	выдадите	167	TS	
.	ладью	167	TS	
.	манжеты	167	TS	
.	отработаешь	167	TS	
.	растим	167	TS	
.	струсили	167	TS	
.	швейцаром	167	TS	
.	благослави	166	S	
.	вскочила	166	TS	
.	отбились	166	TS	
.	передряг	166	S	
.	рыцарю	166	S	
.	сдайтесь	166	TS	
.	сломлены	166	S	
.	собираешся	166	TS	
.	стремянку	166	TS	
.	выдаёшь	165	TS	
.	заколдовал	165	TS	
.	медлительный	165	TS	
.	мухлевать	165	TS	
.	потрахаемся	165	S	
.	райская	165	TS	
.	свечой	165	TS	
.	упырей	165	S	
.	закурил	164	TS	
.	климакс	164	S	
.	мэни	164	S	с заглавной 78% · рядом: ты 10, эни 8, нет 7
.	обрадую	164	TS	
.	прибрано	164	TS	
.	анонимную	163	TS	
.	вкладываем	163	TS	
.	выиграйте	163	TS	
.	гейши	163	TS	
.	дреды	163	TS	
.	дыханье	163	S	
.	занозы	163	S	
.	лески	163	S	
.	милаха	163	TS	
.	осмеливался	163	TS	
.	порочные	163	S	
.	пузырьками	163	S	
.	шутница	163	S	
.	болтлив	162	TS	
.	буйство	162	TS	
.	высасывать	162	S	
.	гавайская	162	TS	
.	ковбойской	162	TS	
.	обесчестил	162	TS	
.	потеха	162	TS	
.	приблизь	162	TS	
.	проедете	162	TS	
.	финишная	162	S	
.	эклеры	162	TS	
.	балды	161	TS	
.	взаимны	161	TS	
.	дерзок	161	TS	
.	заноси	161	S	
.	наносите	161	S	
.	нитрат	161	S	
.	послеродовой	161	TS	
.	пьянке	161	S	
.	тигру	161	TS	
.	физиотерапия	161	TS	
.	шайтан	161	TS	
.	гейские	160	S	
.	гонюсь	160	TS	
.	импульсивен	160	TS	
.	обезглавил	160	TS	
.	поимеют	160	S	
.	посторонняя	160	TS	
.	починке	160	TS	
.	правдоподобное	160	TS	
.	прогул	160	S	
.	сдуру	160	S	
.	скромному	160	S	
.	томагавк	160	TS	с заглавной 42% · Полное имя Тома – Том Томагавк.
.	убираешься	160	TS	
.	антрополог	159	TS	
.	вламывается	159	S	
.	вспыльчивая	159	TS	
.	выезжаешь	159	TS	
.	дурачков	159	TS	
.	засорился	159	TS	
.	олдермен	159	S	
.	почечная	159	S	
.	разочаруешь	159	TS	
.	рождался	159	TS	
.	сражен	159	TS	
.	стеснительная	159	TS	
.	туба	159	S	с заглавной 52% · рядом: сити 31, эван 10, твоя 5
.	видик	158	TS	
.	грузим	158	S	
.	коралл	158	S	
.	миндалины	158	TS	
.	облегчать	158	S	
.	отделается	158	TS	
.	отчаивайтесь	158	TS	
.	разыскала	158	TS	
.	сжигаешь	158	TS	
.	труден	158	TS	
.	выкладывается	157	S	
.	доигрался	157	TS	
.	дорогуши	157	S	
.	дружеским	157	TS	
.	законны	157	TS	
.	заложу	157	S	
.	навроде	157	S	
.	нейрохирурга	157	S	
.	плетут	157	TS	
.	стажёра	157	TS	
.	токсикология	157	S	
.	цветочков	157	S	
.	часика	157	TS	
.	аптекаря	156	S	
.	выключаем	156	TS	
