# ПОРЦИЯ tt-015 — 15 из 19. Слова 2801–3000 из 3734 (татарская очередь).
# Чем выше слово в списке, тем чаще оно встречается: бросить чтение можно на любой строке.
#
# ОТМЕЧАЙ ТОЛЬКО ОТКАЗЫ. Поставь x в первой колонке у слова, которому не место в клавиатуре;
# всё непомеченное считается принятым. Причину можно дописать тут же: «x имя».
#
# Когда порция дочитана — допиши что угодно после двоеточия в строке ниже и сохрани файл.
# Без этой отметки порция считается непрочитанной, и её слова в приём не пойдут.
# вычитано:
#
# Дальше на компьютере: python3 scripts/review_batches.py collect
#
# колонки: нет | слово | частота | ист | подсказка
#   нет       — «.» не значит ничего; замени на x, чтобы отказать
#   частота   — сколько раз слово встретилось в разговорных корпусах
#   ист       — T Tatoeba (лицензия чистая) · S OpenSubtitles (гранта нет) · TS оба
#   подсказка — стоит только там, где по одному виду слова не решить:
#               «с заглавной 86%» — так часто слово писалось с большой буквы не в начале
#               строки, то есть это, скорее всего, имя; дальше — пример строки или список
#               соседних слов с числом встреч
#
# Примеры в подсказках — предложения из Tatoeba (CC BY 2.0 FR, tatoeba.org). Строк из
# OpenSubtitles здесь нет: лицензии на их распространение не существует (docs/CORPUS-OS.md),
# поэтому оттуда взяты только соседние слова с их числами, а не сам текст.
нет	слово	частота	ист	подсказка
.	кайнаткычны	3	T	
.	кайрый	3	TS	
.	кайтарасым	3	S	
.	кайтачакмы	3	TS	
.	кайтмыйсыз	3	TS	
.	кайтмыйсың	3	S	
.	кайтуыгыз	3	S	
.	калгансың	3	TS	
.	калдырыйм	3	S	
.	калдырырбыз	3	TS	
.	калмассың	3	S	
.	калтырыйсың	3	S	
.	калышма	3	S	
.	камаучы	3	T	
.	каньон	3	S	с заглавной 100% · рядом: мин 1, өстенә 1
.	капут	3	TS	
.	карабында	3	S	
.	караватында	3	T	
.	карада	3	S	
.	каракатица	3	S	
.	карамадыңмы	3	TS	
.	карарак	3	T	
.	каргада	3	T	
.	каргатырн	3	S	с заглавной 100% · рядом: минем 1
.	кармавычлар	3	TS	
.	кармактан	3	T	
.	картайса	3	T	
.	карчыгасы	3	T	
.	карыйлармы	3	TS	
.	карыннан	3	T	
.	касетаны	3	S	
.	катафалк	3	S	
.	катыштырган	3	S	
.	качасыңмы	3	TS	
.	качачакбыз	3	S	
.	качмыйм	3	TS	
.	качтыгыз	3	TS	
.	качудан	3	S	
.	качыйк	3	S	
.	каһәргә	3	TS	
.	квил	3	S	
.	квинзель	3	S	с заглавной 100% · рядом: һарлин 1, харлин 1
.	кейсны	3	S	
.	кекслар	3	TS	
.	келәшчәсе	3	S	
.	керербез	3	TS	
.	керешербез	3	TS	
.	керләрне	3	T	
.	керпесенә	3	S	
.	кертсәгез	3	S	
.	керттеңме	3	TS	
.	кечкенәне	3	S	
.	кешеләрсез	3	S	
.	кигәнсең	3	T	
.	киенәм	3	TS	
.	килдемме	3	TS	
.	килешербез	3	S	
.	килмешәкләрне	3	TS	
.	килмәсәң	3	S	
.	кимсеттеләр	3	TS	
.	кирәктән	3	S	
.	кисмә	3	TS	
.	кисәкчәләрен	3	S	
.	китапмы	3	TS	
.	китерегә	3	S	
.	китермәсәң	3	S	
.	китертмим	3	S	
.	китәргәме	3	TS	
.	кичерербез	3	TS	
.	кичерермен	3	TS	
.	кичми	3	T	
.	кичтем	3	TS	
.	киярмен	3	TS	
.	клараны	3	S	с заглавной 100% · рядом: мин 2, бернинди 1, өйгә 1
.	клиентларыбыз	3	S	
.	кмги	3	S	с заглавной 100% · рядом: җитәкче 1, урынбасары 1
.	коенам	3	T	
.	коктейлен	3	TS	
.	колакларыгызны	3	S	
.	комачауладыммы	3	TS	
.	комачауламадыммы	3	TS	
.	комачауламыйм	3	TS	
.	комачаулыйбыз	3	TS	
.	комбинация	3	TS	
.	конвей	3	S	с заглавной 100% · рядом: икесе 2, җиденчегә 1
.	координатлар	3	S	
.	коплар	3	S	
.	корабмы	3	TS	
.	корабтамы	3	TS	
.	коралланыгыз	3	S	
.	коралым	3	S	
.	корсагым	3	T	
.	корсакта	3	TS	
.	кортес	3	S	с заглавной 100% · рядом: люсия 2
.	кортының	3	T	
.	костюмыңны	3	TS	
.	косып	3	T	
.	коткарасы	3	S	
.	коткарганнарын	3	S	
.	коткаручыны	3	S	
.	коткарырбыз	3	TS	
.	коткарырлар	3	S	
.	коточыргычлар	3	S	
.	котыл	3	TS	
.	котылам	3	TS	
.	котылыгыз	3	TS	
.	кочаклый	3	TS	
.	кояшлар	3	TS	
.	крайлар	3	S	с заглавной 100% · рядом: безгә 1
.	кретин	3	TS	
.	куакка	3	TS	
.	кубны	3	S	
.	кудың	3	S	
.	кузгалма	3	S	
.	куиммы	3	S	
.	кулланачакмын	3	TS	
.	кулланмадың	3	S	
.	кулланучылык	3	T	
.	кулларымнан	3	S	
.	кулларыңда	3	TS	
.	кунык	3	S	
.	куркытабыз	3	S	
.	курыкмасаң	3	S	
.	курыктыгызмы	3	TS	
.	кушсам	3	S	
.	куштыңмы	3	S	
.	кушырган	3	T	
.	куярсың	3	S	
.	кызарынды	3	T	
.	кызарыр	3	T	
.	кызганды	3	S	
.	кызыксынуың	3	TS	
.	кызыңның	3	S	
.	кыйна	3	S	
.	кыландың	3	S	
.	кылма	3	TS	
.	кылмадым	3	TS	
.	кылычымны	3	S	
.	кычкырдыгыз	3	TS	
.	кышының	3	T	
.	кыяк	3	S	
.	кэтны	3	S	с заглавной 100% · рядом: кире 1, ярык 1, лондонга 1
.	күзлексез	3	T	
.	күзәтми	3	TS	
.	күзәттең	3	S	
.	күзәтәсез	3	S	
.	күзәтәсезме	3	S	
.	күзәтәчәксез	3	S	
.	күләгәсеннән	3	TS	
.	күмегез	3	TS	
.	күндердең	3	S	
.	күрекле	3	T	
.	күренүдән	3	TS	
.	күрмисеңмени	3	TS	
.	күрсәттегезме	3	T	
.	күрсәтәчәкмен	3	S	
.	күрүемне	3	TS	
.	күтәрдең	3	S	
.	күченүдә	3	T	
.	күчердең	3	S	
.	күңелсезлектән	3	TS	
.	күңелсезләнмә	3	TS	
.	кәвеш	3	S	
.	кәсәбә	3	T	
.	кәүсәсендә	3	TS	
.	көбәне	3	S	
.	көбәсе	3	TS	
